Nombre del producto,Tipo de producto,Categoría,Florero,Contenedor,Material del contenedor,Colores,Insumos,Variantes_Tamaños,Dimensiones_Tamaños,Variantes_Ruedo,Variantes_Colores,Precio,precio_base,Cuidados
Boîte de Invierno,Arreglo floral horizontal,Flores en Plantas,Sí,Caja o base metálica rectangular,Metal y oasis floral,"Azul, verde, blanco",Flores mixtas de temporada,,70 × 30 cm,,"Azul, verde, blanco",$97.000,$97.000,"Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' ni rociar las flores por encima, sino que hacer un espacio para que el agua —con tu regadera o botella— llegue directamente al OASIS. Retira las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas. El arreglo de las fotos es de tamaño '70 × 30 cms' / El envío no está incluido en este precio."
Frutera Pascual,Arreglo floral en florero,Flores recién cortadas en Regalos,Sí,Frutera de vidrio,Vidrio transparente,"Rojos, rosados, verdes",Flores mixtas de temporada,,40 × 50 cm,,"Rojos, rosados, verdes",$85.000,$85.000,"Para que tus flores tengan una vida más larga debes evitar el sol directo o cualquier fuente de calor obvia (como un calefactor por ejemplo). Algunas flores pueden morir antes que otras, sobre todo en este arreglo en donde hay distintos tipos y variedades, por lo que te recomendamos que vayas sacando aquellas que estén moribundas para evitar la acumulación de bacterias y se vean más frescas las que quedan! Preocúpate de mantener siempre con agua el florero (al menos hasta la mitad del vidrio) para no deshidratar las flores. El arreglo de las fotos es de tamaño '40 × 50 cms' / El envío no está incluido en este precio."
Boîte Amour,Arreglo floral horizontal,Flores en Plantas,Sí,Base rectangular baja,Madera o cerámica,"Rosados, rojos, verdes",Flores mixtas de temporada,,70 × 30 cm,,"Rosados, rojos, verdes",$97.000,$97.000,"Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' ni rociar las flores por encima, sino que hacer un espacio para que el agua —con tu regadera o botella— llegue directamente al OASIS. Retira las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas. El arreglo de las fotos es de tamaño '70 × 30 cms' / El envío no está incluido en este precio."
Paila Claus,Arreglo floral navideño,Flores en Plantas,Sí,Paila decorativa,Cerámica,"Rojos, verdes",Flores mixtas de temporada,"M, L","M: 40×50, L: 50×65",,"Rojos, verdes","M — $90.000, L — $120.000",,"Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' ni rociar las flores por encima, sino que hacer un espacio para que el agua —con tu regadera o botella— llegue directamente al OASIS. Retira las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas. El arreglo de las fotos es de tamaño M '40 × 50 cms' / El envío no está incluido en este precio."
Pino Navideño,Arreglo floral con forma de pino,Coronas en Coronas y guirnaldas,No,Base estructurada en OASIS,Flores naturales y follaje,"Rojos, naranjos, verdes",Flores y follaje,"45 cm, 60 cm",,,"Rojos, naranjos, verdes","Este diseño se ha convertido en un clásico de nuestras Navidades. Su estructura está hecha en oasis para que las flores continúen hidratándose, por lo tanto hay que considerar el peso a la hora de manipularlo... ¡con mucho cuidado! Te aconsejamos que con una botella o regadera le chorrees agua poco a poco desde la punta del pino para que vaya permeando y rehidratando. Repite todos los días.",,
Red Charm,Arreglo floral alto,Flores en Plantas,Sí,Florero cilíndrico de vidrio,Vidrio,"Rojo, verde",Flores mixtas de temporada,,60 × 70 cm,,"Rojo, verde",$150.000,$150.000,"Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retira las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas. El arreglo de las fotos es de tamaño '60 × 70 cms' / El envío no está incluido en este precio."
Corona Rosas,Corona floral decorativa,Coronas y guirnaldas en Decoración,No,Base circular de espuma floral,Espuma floral,"Rojos, verdes",Rosas,,80–90 cm de ruedo,,"Rojos, verdes",$320.000,$320.000,80–90 cms de ruedo
Brisero Polo Sur,Arreglo floral alto,Flores en Plantas,Sí,Florero verde alto,Vidrio,"Naranjo, coral, rojo, verde",Flores mixtas de temporada,"S, M, L","S: 50×40, M: 70×65, L: 80×70",,"Naranjo, coral, rojo, verde","S — $90.000, M — $120.000, L — $180.000",,"Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retira las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas. El arreglo de las fotos es de tamaño M '70 × 65 cms' / El envío no está incluido en este precio."
Cerámica Rectangular Alta,Florero decorativo,Floreros en Decoración,Sí,Florero rectangular vertical,Cerámica esmaltada,"Amarillo, blanco",—,,,,"Amarillo, blanco",$35.000,$35.000,Florero decorativo de cerámica esmaltada. No incluye flores.
Florero Mago A,Florero decorativo individual,Floreros en Decoración,Sí,Florero tipo copa,Vidrio opalino,Verde agua,—,,Pequeño (20–25 cm alto),,Verde agua,$14.000,$14.000,"Florero de vidrio perfecto para veladores, baño o cualquier lugar más pequeño. También una gran idea es juntar de a varios y hacer un conjunto como para centros de mesa por ejemplo. Florero no incluye flores."
