Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Material de decoración (product.metafields.shopify.decoration-material),Formato de papel (product.metafields.shopify.paper-format),Tamaño de papel (product.metafields.shopify.paper-size),Características de la planta (product.metafields.shopify.plant-characteristics),Forma (product.metafields.shopify.shape),Espacio adecuado (product.metafields.shopify.suitable-space),Luz solar (product.metafields.shopify.sunlight),Forma de jarrón (product.metafields.shopify.vase-shape),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
florero-aura,Florero Aura,"<p><meta charset=""utf-8""><span>Florero de diseño minimalista, <meta charset=""utf-8"">tiene una estructura de doble pared <meta charset=""utf-8"">hecho en vidrio. Perfecto para dar un toque de luz y color a cualquier rincón. No es necesario ponerle demasiadas flores, ya con sólo una vara se ve espectacular.<br><br><span style=""color: rgb(179, 179, 179);""><em>Mide 25 x 7,5 cms. No incluye flores</em></span></span></p>",Las Lira,Home & Garden > Decor > Vases,Florero,Decoración,true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,32000,,true,false,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_1891.heic?v=1753394993,1,"",false,,,602,,,,,,,,,,,,,vidrio,,,,,,,redondo,,kg,,,active
florero-aura,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_18892.heic?v=1753395536,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florero-aura,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_2085.heic?v=1753395536,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florero-para-muro-chico,Florero para muro chico,"<p data-end=""427"" data-start=""164"">Diseñado para instalar al muro sin ocupar espacio en superficies.</p>
<p style=""text-align: left;"" data-end=""707"" data-start=""429"">El soporte metálico negro se fija fácilmente a la pared mediante dos tornillos (incluidos + tarugos), asegurando una instalación firme y segura. El florero se apoya sobre un aro metálico que lo mantiene en posición, permitiendo retirarlo con facilidad para limpiar o cambiar el contenido.<br><br>Medidas cono de vidrio: 22 x 8 cms<br>Medidas total 22 x 12 cms </p>",Las Lira,Home & Garden > Decor > Vases,Florero,"Decoración, objetos",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,28000,,true,false,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/Facetune_11-07-2025-10-31-42.jpg?v=1752244959,1,"",false,,,602,,,,,,,,,,,,,vidrio,,,,,,,redondo,,kg,,,active
florero-para-muro-chico,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/edddbff4-3abc-4553-ba8a-bbc42f718dfc.jpg?v=1752244959,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florero-para-muro-chico,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/Facetune_11-07-2025-10-30-21.jpg?v=1752244723,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florero-para-muro,Florero para muro grande,"<p data-end=""427"" data-start=""164"">Diseñado para instalar al muro sin ocupar espacio en superficies.</p>
<p style=""text-align: left;"" data-end=""707"" data-start=""429"">El soporte metálico negro se fija fácilmente a la pared mediante dos tornillos (incluidos + tarugos), asegurando una instalación firme y segura. El florero se apoya sobre un aro metálico que lo mantiene en posición, permitiendo retirarlo con facilidad para limpiar o cambiar el contenido.<br><br>Medidas cono de vidrio: 30 x 12 cms<br>Medidas total 30 x 16 cms </p>",Las Lira,Home & Garden > Decor > Vases,Florero,"Decoración, objetos",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,34000,,true,false,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/completo.jpg?v=1752168039,1,"",false,,,602,,,,,,,,,,,,,vidrio,,,,,,,redondo,,kg,,,active
florero-para-muro,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/detalle.jpg?v=1752168095,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boite-amour-copia,Boîte de invierno,"<p>Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes ""regar"" ni rociar las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retira las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas.</p>
<p style=""text-align: center;""><span style=""color: rgb(179, 179, 179);"">* El arreglo de las fotos es de tamaño '70 x 30 cms' / El envío no está incluido en este precio</span></p>",Las Lira,Home & Garden > Plants > Flowers,"",Arreglos,true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,97000,,true,false,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_0768.jpg?v=1749663130,1,"",false,,,,,,,,,,,,,,,,,,,floreciente,,interior,sombra-parcial,,,kg,,,active
boite-amour-copia,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_0815.jpg?v=1749663130,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
